,epochs,train,val,test
52,52.0,1.982423941964665e-05,1.5224509886359189e-05,1.2286989480627464e-05
53,53.0,1.959150117082185e-05,1.5273984060102232e-05,1.2264574902019238e-05
54,54.0,1.9655465591558746e-05,1.5207721301461234e-05,1.2216411977550218e-05
55,55.0,1.9572949934764555e-05,1.5129465638783286e-05,1.220341900750151e-05
56,56.0,1.9732875681560352e-05,1.506184461471116e-05,1.2193617596649982e-05
57,57.0,1.9681688704730828e-05,1.5336125840186596e-05,1.236743541521323e-05
58,58.0,1.9653174253611682e-05,1.5068881349786784e-05,1.2253560875217399e-05
59,59.0,1.9565785912664605e-05,1.5160117278272828e-05,1.2155915743468752e-05
60,60.0,1.9542188559220982e-05,1.528921997322822e-05,1.2350196029350659e-05
61,61.0,1.975121299881178e-05,1.5630524310692303e-05,1.2472182933968863e-05
62,62.0,1.9641989424217216e-05,1.5208903480545668e-05,1.239231543060924e-05
63,63.0,1.972204931492326e-05,1.562496632771917e-05,1.267506800047672e-05
64,64.0,1.9945315835864426e-05,1.5489772214753307e-05,1.2555645189836355e-05
65,65.0,1.9926123309343248e-05,1.556684810933668e-05,1.2618574703698915e-05
66,66.0,1.9658468008565272e-05,1.5444453731161722e-05,1.229216686737233e-05
67,67.0,1.9543398164509842e-05,1.5202481291473971e-05,1.228351189633433e-05
68,68.0,1.9629987483302178e-05,1.5126713196317495e-05,1.2133512435010236e-05
69,69.0,1.9843045351423774e-05,1.6282613278895784e-05,1.273017391070242e-05
70,70.0,2.0125693202096637e-05,1.5174167134252822e-05,1.2168315968762323e-05
71,71.0,1.9784996824145304e-05,1.552427105136333e-05,1.2499790518071242e-05
72,72.0,1.979613401266052e-05,1.5261200899183088e-05,1.2211556059819377e-05
73,73.0,1.9541172785044893e-05,1.5284540773712286e-05,1.2301151624069101e-05
74,74.0,1.968094635031244e-05,1.5960952597965945e-05,1.2947467035525935e-05
75,75.0,1.976844585986924e-05,1.5131473484949214e-05,1.2272052059344691e-05
76,76.0,1.9534183277132687e-05,1.5207118715547909e-05,1.234072093871318e-05
77,77.0,2.0012890885162256e-05,1.553602645516291e-05,1.2388289969350883e-05
78,78.0,2.0141918513789488e-05,1.5233334878496875e-05,1.2234432620655823e-05
79,79.0,1.9533799905063496e-05,1.5140861056369564e-05,1.227355495527822e-05
80,80.0,1.9517290973726094e-05,1.506373684210071e-05,1.2138769345249201e-05
81,81.0,1.9567184046961957e-05,1.5082273584198375e-05,1.2204644039903218e-05
82,82.0,1.9861513889945004e-05,1.52968328929125e-05,1.2314619844486203e-05
83,83.0,1.9831210841613042e-05,1.585954994709436e-05,1.2471076624030078e-05
84,84.0,2.008012498709294e-05,1.5635058991060587e-05,1.273217015477824e-05
85,85.0,2.0287749467195276e-05,1.6023209505998195e-05,1.3002330903672693e-05
86,86.0,2.0090008445394844e-05,1.5216024759797163e-05,1.2386696112575643e-05
87,87.0,1.9674748771263375e-05,1.5242338673084268e-05,1.2364078369604741e-05
88,88.0,1.965877257244997e-05,1.5836754799169865e-05,1.2831474316779105e-05
89,89.0,1.973045172315037e-05,1.5316542859898063e-05,1.2323752820186249e-05
90,90.0,1.9651853957546232e-05,1.5870643482861754e-05,1.2831918636028474e-05
91,91.0,2.0307169239891016e-05,1.548796945256868e-05,1.2274035568828886e-05
92,92.0,1.9961820108401007e-05,1.5314683196362818e-05,1.2411332774675614e-05
93,93.0,2.036688876104087e-05,1.5670141083376292e-05,1.2627140779949374e-05
94,94.0,2.0521677632449125e-05,1.583107183018813e-05,1.2714307727977563e-05
95,95.0,2.043647829867983e-05,1.509724363387642e-05,1.2125339378966199e-05
96,96.0,2.0547266333559917e-05,1.5784341717623466e-05,1.2828561489466563e-05
97,97.0,2.0472568276866512e-05,1.650558051209428e-05,1.2922523097941064e-05
98,98.0,2.0700642958910266e-05,1.9368863996307043e-05,1.545218542589953e-05
99,99.0,2.1981983468999748e-05,2.074034150116068e-05,1.5681048205292644e-05
100,100.0,2.213617946565137e-05,1.5690603328387335e-05,1.2744080385190736e-05
101,101.0,2.0562746797256132e-05,1.6669261455032882e-05,1.2983010546975283e-05
102,102.0,2.0092543639643268e-05,1.5562306709726455e-05,1.2595666259386133e-05
103,103.0,2.0345692576511616e-05,1.676171866389427e-05,1.344725350210159e-05
104,104.0,2.121970160222845e-05,1.5210592212369122e-05,1.2157636335723598e-05
105,105.0,1.9820015972688358e-05,1.5710617798798583e-05,1.2474776060192642e-05
106,106.0,2.0414900850818246e-05,1.5077794351878168e-05,1.2252773456304001e-05
107,107.0,2.0359618398021653e-05,1.499751586107388e-05,1.2166362267192107e-05
108,108.0,2.0411155606744763e-05,1.5473249388060535e-05,1.2384238490734558e-05
109,109.0,2.0386640838868598e-05,1.562523991584108e-05,1.2625282049469455e-05
110,110.0,2.000843261302534e-05,1.587604066823611e-05,1.2604599119782285e-05
111,111.0,2.0447086754843773e-05,1.7848147051884957e-05,1.4337898466058253e-05
112,112.0,2.0385663762144948e-05,1.5109911321533542e-05,1.2210294104626823e-05
113,113.0,1.9976547179954826e-05,1.538914002993874e-05,1.2454185565288085e-05
114,114.0,2.0138253353828642e-05,1.6255122517797637e-05,1.3106661526590615e-05
115,115.0,2.00921059842163e-05,1.5385828545577636e-05,1.231250685191421e-05
116,116.0,2.000552479098837e-05,1.538647458492373e-05,1.2492296356633087e-05
117,117.0,2.008566876859943e-05,1.66292738681325e-05,1.3638257982035945e-05
118,118.0,1.9825704213133815e-05,1.5561523205370714e-05,1.2377057887408778e-05
119,119.0,2.0401259352210562e-05,1.9021728817708136e-05,1.4488097307351546e-05
120,120.0,2.2594363446668554e-05,1.624778647707563e-05,1.3153605652094433e-05
121,121.0,2.093711066011497e-05,1.5327229775042672e-05,1.2263161247393221e-05
122,122.0,2.0968364848658863e-05,1.679177121303853e-05,1.292299110078039e-05
123,123.0,2.0819452025853903e-05,1.588240886957451e-05,1.2791047134927658e-05
124,124.0,2.0044148639512245e-05,1.5247200473470325e-05,1.2296815416054239e-05
125,125.0,1.9682933078670612e-05,1.5310281626888186e-05,1.2472943953012795e-05
126,126.0,1.988509106517821e-05,1.5856422809115077e-05,1.2582418316458957e-05
127,127.0,2.0362228965854766e-05,1.5636546653255693e-05,1.2694565600950609e-05
128,128.0,2.0723201912053566e-05,1.506809440827348e-05,1.2205637412441631e-05
129,129.0,1.996225712749303e-05,1.5945217421204064e-05,1.2691538695594775e-05
130,130.0,2.057744313198787e-05,1.5918203600846766e-05,1.2758895916988447e-05
131,131.0,2.0257745838328543e-05,1.6724716361734273e-05,1.3467369301176492e-05
132,132.0,1.9843269829342348e-05,1.5202166399549865e-05,1.2226397285715884e-05
133,133.0,1.9901847971496973e-05,1.6281842046885946e-05,1.2725802594655127e-05
134,134.0,1.9877270135454553e-05,1.5694950763994057e-05,1.2640046908304356e-05
135,135.0,2.0568002517579058e-05,1.5541158350448055e-05,1.2711950276202695e-05
136,136.0,2.0278370294430967e-05,1.5142628694809268e-05,1.222863230841653e-05
137,137.0,1.9731726682615687e-05,1.523572496651862e-05,1.2183576444901292e-05
138,138.0,2.0019552481540368e-05,1.554732415128677e-05,1.2374022630898036e-05
139,139.0,2.077638019887178e-05,1.5229803027950538e-05,1.2325356969568564e-05
140,140.0,1.9835893563849367e-05,1.5218707040140911e-05,1.2316707151903608e-05
141,141.0,1.9714754545274645e-05,1.5050025697759967e-05,1.2131570342508242e-05
142,142.0,1.9952918685316657e-05,1.6107719638800448e-05,1.28170431068094e-05
143,143.0,2.0528155152982137e-05,1.6996680326485093e-05,1.3762112377020642e-05
144,144.0,2.1169406108782812e-05,1.6287429412625336e-05,1.3239495686411887e-05
145,145.0,1.9977664084064925e-05,1.580897807626131e-05,1.2594624691259726e-05
146,146.0,2.011683789512034e-05,1.570167493899698e-05,1.245733586155086e-05
147,147.0,2.0467141497499473e-05,1.5557172555565865e-05,1.2500988433002761e-05
148,148.0,2.054458337307141e-05,1.574988757148752e-05,1.2744915457582123e-05
149,149.0,1.9794711015767724e-05,1.612840852851219e-05,1.2750466627870673e-05
150,150.0,2.0040472922287538e-05,1.5036690148436185e-05,1.2193360613140304e-05
151,151.0,1.9968112056846166e-05,1.5455947164038614e-05,1.2592060916433509e-05
152,152.0,1.9689643755035137e-05,1.570370287892815e-05,1.2437531113655906e-05
153,153.0,2.0099814009670052e-05,1.5578285364808703e-05,1.2312590173845568e-05
154,154.0,2.170104298436315e-05,1.5601463060652128e-05,1.2620845761334276e-05
155,155.0,2.024442080953538e-05,1.9316675665127678e-05,1.5654810966249974e-05
156,156.0,2.3036229386437316e-05,1.542236591208867e-05,1.2416743704026215e-05
157,157.0,2.0999805846762888e-05,1.6662610554714077e-05,1.322220764028943e-05
158,158.0,2.0290699337316827e-05,1.5514628158533823e-05,1.2637415200294181e-05
159,159.0,1.9650512082573316e-05,1.57046193056907e-05,1.2643157337610865e-05
160,160.0,2.0067919121057393e-05,1.5258462274136468e-05,1.2346268440931232e-05
161,161.0,1.9726687557115944e-05,1.5375771843848974e-05,1.2359666726926462e-05
162,162.0,2.043410658019511e-05,1.530288882406615e-05,1.2248712450930252e-05
163,163.0,1.964142582112084e-05,1.598427694531123e-05,1.2587811546588028e-05
164,164.0,2.0420740516847377e-05,1.650428737181128e-05,1.336597590418052e-05
165,165.0,2.1672910966378888e-05,2.0486652325023944e-05,1.6272414751548382e-05
166,166.0,2.3771756117093148e-05,2.248974072143271e-05,1.7890907462669302e-05
167,167.0,2.6177193917220982e-05,1.5751371466864534e-05,1.2752288528543921e-05
168,168.0,2.358837325663679e-05,2.4117091450271136e-05,1.787691738257925e-05
169,169.0,2.4660729937639366e-05,1.514109535002495e-05,1.232725336275953e-05
170,170.0,2.119479212495811e-05,1.5855094784319953e-05,1.2936756648945073e-05
171,171.0,2.0638674779331703e-05,1.688043108100286e-05,1.3504287468814474e-05
172,172.0,2.238457083086929e-05,1.5695396077327797e-05,1.2711463550190062e-05
173,173.0,2.18253939730615e-05,1.8206719777431405e-05,1.4582258455158608e-05
174,174.0,2.0694636242670896e-05,1.5249596815009518e-05,1.2206685611622783e-05
175,175.0,2.0386810354215257e-05,1.6806645583842246e-05,1.3429804323382474e-05
176,176.0,2.0245216374578187e-05,1.6287835250512148e-05,1.3030874649212241e-05
177,177.0,2.0204679815825837e-05,1.5531095378010243e-05,1.2386474885332934e-05
178,178.0,1.9826512640723172e-05,1.4990288058275275e-05,1.2162062030919653e-05
179,179.0,1.9686575233539334e-05,1.5031863445703756e-05,1.2198025260937397e-05
180,180.0,2.001624782950579e-05,1.5209946962859106e-05,1.2356395975667511e-05
181,181.0,2.0030412831066336e-05,1.6867708375192932e-05,1.3639010041087627e-05
182,182.0,2.1200109860429348e-05,1.5866685229315465e-05,1.2596059031672179e-05
183,183.0,1.9753263741771697e-05,1.5335279022089723e-05,1.2351502199276948e-05
184,184.0,1.9485240251449466e-05,1.5135301577695047e-05,1.2220877328491e-05
185,185.0,1.9903669551981772e-05,1.5847312878150565e-05,1.2474444966979408e-05
